tweet, sentimiento, negativa, neutral, positiva, defuzz, sent_defuzz, t_fuzz, t_defuzz, t_total
i love lebron, Positiva, 0.0, 0.192, 0.8, 7.6, Positiva, 0.00047135353088378906, 0.00022482872009277344, 0.0006961822509765625
lebron is a beast but i m still cheering the a til the end, Negativa, 0.0, 0.669, 0.3, 5.26, Neutra, 0.0006475448608398438, 0.0002493858337402344, 0.0008969306945800781
lebron is the boss, Positiva, 0.0, 1.0, 0.0, 4.91, Neutra, 0.0009007453918457031, 0.0003921985626220703, 0.0012929439544677734
lebron is a hometown hero to me lol i love the lakers but let s go cavs lol, Positiva, 0.0, 0.512, 0.5, 7.67, Positiva, 0.0009987354278564453, 0.00023794174194335938, 0.0012366771697998047
lebron and zydrunas are such an awesome duo, Positiva, 0.0, 0.631, 0.4, 5.87, Neutra, 0.0006282329559326172, 0.0004451274871826172, 0.0010733604431152344
lebron is a beast nobody in the nba comes even close, Positiva, 0.0, 1.0, 0.0, 4.91, Neutra, 0.0005834102630615234, 0.0003364086151123047, 0.0009198188781738281
downloading apps for my iphone so much fun there literally is an app for just about anything, Positiva, 0.0, 0.817, 0.2, 4.98, Neutra, 0.0008654594421386719, 0.0002651214599609375, 0.0011305809020996094
good news just had a call from the visa office saying everything is fine what a relief i am sick of scams out there stealing, Positiva, 0.3, 0.462, 0.2, 4.11, Neutra, 0.001340627670288086, 0.0002796649932861328, 0.0016202926635742188
awesome come back from via, Positiva, 0.0, 0.494, 0.5, 7.67, Positiva, 0.0006723403930664062, 0.0002238750457763672, 0.0008962154388427734
in montreal for a long weekend of r amp r much needed, Positiva, 0.0, 1.0, 0.0, 4.91, Neutra, 0.0005254745483398438, 0.0002944469451904297, 0.0008199214935302734
booz allen hamilton has a bad ass homegrown social collaboration platform way cool ttiv, Positiva, 0.0, 0.578, 0.4, 5.87, Neutra, 0.0007970333099365234, 0.00032258033752441406, 0.0011196136474609375
mluc customer innovation award winner booz allen hamilton, Positiva, 0.0, 0.336, 0.7, 7.6, Positiva, 0.0007927417755126953, 0.000354766845703125, 0.0011475086212158203
i current use the nikon d and love it but not as much as the canon d d i chose the d for the video feature my mistake, Positiva, 0.1, 0.778, 0.1, 4.81, Neutra, 0.0011227130889892578, 0.0003104209899902344, 0.0014331340789794922
google is always a good place to look should ve mentioned i worked on the mustang w my dad, Positiva, 0.0, 0.838, 0.2, 4.98, Neutra, 0.0010988712310791016, 0.0003600120544433594, 0.001458883285522461
played with an android google phone the slide out screen scares me i would break that fucker so fast still prefer my iphone, Negativa, 0.2, 0.676, 0.1, 4.52, Neutra, 0.0010724067687988281, 0.0002834796905517578, 0.001355886459350586
us planning to resume the military tribunals at guantanamo bay only this time those on trial will be aig execs and chrysler debt holders, Negativa, 0.1, 0.902, 0.0, 4.81, Neutra, 0.0010776519775390625, 0.00029754638671875, 0.0013751983642578125
omg so bored amp my tattoooos are so itchy help aha, Negativa, 0.3, 0.497, 0.2, 4.11, Neutra, 0.0006721019744873047, 0.00046896934509277344, 0.0011410713195800781
i m itchy and miserable, Negativa, 0.8, 0.159, 0.0, 1.86, Negativa, 0.0007140636444091797, 0.00023794174194335938, 0.0009520053863525391
no i m not itchy for now maybe later lol, Negativa, 0.2, 0.423, 0.4, 5.12, Neutra, 0.0006325244903564453, 0.0004215240478515625, 0.0010540485382080078
rt i love the nerdy stanford human biology videos makes me miss school, Positiva, 0.2, 0.562, 0.3, 4.79, Neutra, 0.000827789306640625, 0.0005888938903808594, 0.0014166831970214844
has been a bit crazy with steep learning curve but lyx is really good for long docs for anything shorter it would be insane, Positiva, 0.2, 0.677, 0.1, 4.52, Neutra, 0.0012052059173583984, 0.0010783672332763672, 0.0022835731506347656
i m listening to p y t by danny gokey lt lt lt aww he s so amazing i lt him so much, Positiva, 0.0, 0.755, 0.2, 4.98, Neutra, 0.0008790493011474609, 0.0005939006805419922, 0.0014729499816894531
is going to sleep then on a bike ride, Positiva, 0.0, 1.0, 0.0, 4.91, Neutra, 0.0005962848663330078, 0.0003504753112792969, 0.0009467601776123047
cant sleep my tooth is aching, Negativa, 0.4, 0.61, 0.0, 3.09, Negativa, 0.002231597900390625, 0.00033664703369140625, 0.0025682449340820312
blah blah blah same old same old no plans today going back to sleep i guess, Negativa, 0.4, 0.632, 0.0, 3.09, Negativa, 0.0007805824279785156, 0.0002942085266113281, 0.0010747909545898438
glad i didnt do bay to breakers today it s freaking degrees in san francisco wtf, Negativa, 0.3, 0.534, 0.1, 3.99, Neutra, 0.0016214847564697266, 0.0002791881561279297, 0.0019006729125976562
obama administration must stop bonuses to aig ponzi schemers, Negativa, 0.2, 0.547, 0.3, 4.79, Neutra, 0.0006239414215087891, 0.0002224445343017578, 0.0008463859558105469
started to think that citi is in really deep s amp t are they gonna survive the turmoil or are they gonna be the next aig, Negativa, 0.1, 0.902, 0.0, 4.81, Neutra, 0.0018718242645263672, 0.0006220340728759766, 0.0024938583374023438
shaunwoo hate n on aig, Negativa, 0.6, 0.448, 0.0, 1.72, Negativa, 0.0009179115295410156, 0.0003185272216796875, 0.0012364387512207031
you will not regret going to see star trek it was awesome, Positiva, 0.0, 0.609, 0.4, 5.87, Neutra, 0.0009343624114990234, 0.00032019615173339844, 0.0012545585632324219
annoying new trend on the internets people picking apart michael lewis and malcolm gladwell nobody wants to read that, Negativa, 0.1, 0.87, 0.0, 4.81, Neutra, 0.002107858657836914, 0.00038623809814453125, 0.0024940967559814453
highly recommend by malcolm gladwell, Positiva, 0.0, 0.589, 0.4, 5.87, Neutra, 0.0004963874816894531, 0.00027251243591308594, 0.0007688999176025391
blink by malcolm gladwell amazing book and the tipping point, Positiva, 0.0, 0.703, 0.3, 5.26, Neutra, 0.0005986690521240234, 0.0002474784851074219, 0.0008461475372314453
malcolm gladwell might be my new man crush, Positiva, 0.2, 0.814, 0.0, 4.52, Neutra, 0.0005974769592285156, 0.00024962425231933594, 0.0008471012115478516
omg the commercials alone on espn are going to drive me nuts, Negativa, 0.3, 0.699, 0.0, 3.99, Neutra, 0.0010502338409423828, 0.0002472400665283203, 0.0012974739074707031
playing with twitter api sounds fun may need to take a class or find a new friend who like to generate results with api code, Positiva, 0.0, 0.638, 0.4, 5.87, Neutra, 0.0013432502746582031, 0.0004050731658935547, 0.0017483234405517578
hello twitter api, Positiva, 0.0, 1.0, 0.0, 4.91, Neutra, 0.00043463706970214844, 0.0003001689910888672, 0.0007348060607910156
because the twitter api is slow and most client s aren t good, Negativa, 0.0, 0.76, 0.2, 4.98, Neutra, 0.0012063980102539062, 0.0005772113800048828, 0.001783609390258789
yahoo answers can be a butt sometimes, Negativa, 0.0, 1.0, 0.0, 4.91, Neutra, 0.0005412101745605469, 0.0005421638488769531, 0.0010833740234375
is scrapbooking with nic d, Positiva, 0.0, 1.0, 0.0, 4.91, Neutra, 0.0004565715789794922, 0.0004937648773193359, 0.0009503364562988281
rt five things wolfram alpha does better and vastly different than google, Positiva, 0.0, 0.791, 0.2, 4.98, Neutra, 0.000751495361328125, 0.0005738735198974609, 0.001325368881225586
just changed my default pic to a nike basketball cause bball is awesome, Positiva, 0.0, 0.728, 0.3, 5.26, Neutra, 0.0007035732269287109, 0.0002574920654296875, 0.0009610652923583984
rt was just told that nike layoffs started today, Negativa, 0.0, 1.0, 0.0, 4.91, Neutra, 0.0005071163177490234, 0.0003046989440917969, 0.0008118152618408203
back when i worked for nike we had one fav word just do it, Positiva, 0.0, 0.8, 0.2, 4.98, Neutra, 0.0007112026214599609, 0.00027489662170410156, 0.0009860992431640625
by the way i m totally inspired by this freaky nike commercial, Positiva, 0.2, 0.572, 0.2, 4.61, Neutra, 0.0009419918060302734, 0.0002498626708984375, 0.001191854476928711
class the d is supposed to come today, Positiva, 0.0, 1.0, 0.0, 4.91, Neutra, 0.0004668235778808594, 0.00031566619873046875, 0.0007824897766113281
needs someone to explain lambda calculus to him, Negativa, 0.0, 1.0, 0.0, 4.91, Neutra, 0.0005679130554199219, 0.0003223419189453125, 0.0008902549743652344
took the graduate field exam for computer science today nothing makes you feel like more of an idiot than lambda calculus, Negativa, 0.1, 0.758, 0.1, 4.81, Neutra, 0.0010151863098144531, 0.00030231475830078125, 0.0013175010681152344
shout outs to all east palo alto for being in the buildin karizmakaze cal gta also thanks to profits of doom universal hempz cracka, Positiva, 0.1, 0.712, 0.2, 4.88, Neutra, 0.0013957023620605469, 0.000278472900390625, 0.0016741752624511719
yeahhhhhhhhh i wouldn t really have lived in east palo alto if i could have avoided it i guess it s only for the summer, Negativa, 0.1, 0.888, 0.0, 4.81, Neutra, 0.0008363723754882812, 0.0002856254577636719, 0.0011219978332519531
great stanford course thanks for making it available to the public really helpful and informative for starting off, Positiva, 0.0, 0.598, 0.4, 5.87, Neutra, 0.0008237361907958984, 0.0003657341003417969, 0.0011894702911376953
work til pm lets go lakers, Positiva, 0.0, 1.0, 0.0, 4.91, Neutra, 0.0004425048828125, 0.00039196014404296875, 0.0008344650268554688
damn you north korea, Negativa, 0.5, 0.526, 0.0, 1.67, Negativa, 0.0003859996795654297, 0.00020837783813476562, 0.0005943775177001953
can we just go ahead and blow north korea off the map already, Negativa, 0.0, 1.0, 0.0, 4.91, Neutra, 0.0006229877471923828, 0.00038123130798339844, 0.0010042190551757812
north korea please cease this douchebaggery china doesn t even like you anymore, Negativa, 0.0, 0.676, 0.3, 5.26, Neutra, 0.0008502006530761719, 0.00033926963806152344, 0.0011894702911376953
why the hell is pelosi in freakin china and on whose dime, Negativa, 0.3, 0.705, 0.0, 3.99, Neutra, 0.0008718967437744141, 0.00033092498779296875, 0.0012028217315673828
are you burning more cash than chrysler and gm stop the financial tsunami where bailout means taking a handout, Negativa, 0.2, 0.816, 0.0, 4.52, Neutra, 0.00106048583984375, 0.00033855438232421875, 0.0013990402221679688
insects have infected my spinach plant, Negativa, 0.4, 0.61, 0.0, 3.09, Negativa, 0.0006010532379150391, 0.00027179718017578125, 0.0008728504180908203
wish i could catch every mosquito in the world n burn em slowly they been bitin the shit outta me day mosquitos are the assholes of insects, Negativa, 0.1, 0.677, 0.2, 4.88, Neutra, 0.0011572837829589844, 0.0002849102020263672, 0.0014421939849853516
just got back from church and i totally hate insects, Negativa, 0.3, 0.667, 0.0, 3.99, Neutra, 0.0006794929504394531, 0.00024700164794921875, 0.0009264945983886719
just got mcdonalds goddam those eggs make me sick o yeah laker up date go lakers not much of an update well it s true so suck it, Negativa, 0.3, 0.531, 0.2, 4.11, Neutra, 0.0013427734375, 0.0002608299255371094, 0.0016036033630371094
omgg i ohhdee want mcdonalds damn i wonder if its open lol, Positiva, 0.2, 0.507, 0.3, 4.79, Neutra, 0.0006935596466064453, 0.0002319812774658203, 0.0009255409240722656
history exam studying ugh, Negativa, 0.5, 0.517, 0.0, 1.67, Negativa, 0.0004532337188720703, 0.00021648406982421875, 0.0006697177886962891
i hate revision it s so boring i am totally unprepared for my exam tomorrow things are not looking good, Negativa, 0.4, 0.606, 0.0, 3.09, Negativa, 0.0008780956268310547, 0.00037360191345214844, 0.0012516975402832031
higher physics exam tommorow not lookin forward to it much, Negativa, 0.0, 1.0, 0.0, 4.91, Neutra, 0.0005643367767333984, 0.00031495094299316406, 0.0008792877197265625
it s a bank holiday yet i m only out of work now exam season sucks, Negativa, 0.2, 0.658, 0.2, 4.61, Neutra, 0.0008280277252197266, 0.00032067298889160156, 0.0011487007141113281
cheney and bush are the real culprits, Negativa, 0.0, 1.0, 0.0, 4.91, Neutra, 0.0005998611450195312, 0.0003135204315185547, 0.0009133815765380859
life s a bitch and so is dick cheney p bipart tlot tcot hhrs gop dnc, Negativa, 0.4, 0.599, 0.0, 3.09, Negativa, 0.0007119178771972656, 0.00025463104248046875, 0.0009665489196777344
dick cheney s dishonest speech about torture terror and obama fred kaplan slate, Negativa, 0.6, 0.359, 0.0, 1.72, Negativa, 0.0006620883941650391, 0.00022268295288085938, 0.0008847713470458984
the republican party is a bunch of anti abortion zealots who couldn t draw flies to a dump neal boortz just now on the radio, Negativa, 0.2, 0.657, 0.1, 4.52, Neutra, 0.0011539459228515625, 0.0003178119659423828, 0.0014717578887939453
is twitter s connections api broken some tweets didn t make it to twitter, Negativa, 0.2, 0.78, 0.0, 4.52, Neutra, 0.0006935596466064453, 0.0002474784851074219, 0.0009410381317138672
i srsly hate the stupid twitter api timeout thing soooo annoying, Negativa, 0.6, 0.417, 0.0, 1.72, Negativa, 0.0006582736968994141, 0.00023102760314941406, 0.0008893013000488281
i really liked learning jquery book is worth a look too, Positiva, 0.0, 0.584, 0.4, 5.87, Neutra, 0.0007541179656982422, 0.00029921531677246094, 0.0010533332824707031
very interesting ad from adobe by goodby silverstein amp partners youtube adobe cs le sens propre, Positiva, 0.0, 0.834, 0.2, 4.98, Neutra, 0.0007529258728027344, 0.0002808570861816406, 0.001033782958984375
goodby silverstein agency new site great, Positiva, 0.0, 0.549, 0.5, 7.67, Positiva, 0.0005309581756591797, 0.00031566619873046875, 0.0008466243743896484
rt goodby silverstein s new site i enjoy it nice find, Positiva, 0.0, 0.538, 0.5, 7.67, Positiva, 0.0007104873657226562, 0.000232696533203125, 0.0009431838989257812
the ever amazing psyop and goodby silverstein amp partners for hp have to go play with after effects now, Positiva, 0.0, 0.733, 0.3, 5.26, Neutra, 0.0015270709991455078, 0.0003180503845214844, 0.0018451213836669922
top ten most watched on viral video chart love the nike mostvaluablepuppets campaign from wieden amp kennedy, Positiva, 0.0, 0.714, 0.3, 5.26, Neutra, 0.0008180141448974609, 0.00026297569274902344, 0.0010809898376464844
zomg i have a g, Positiva, 0.0, 1.0, 0.0, 4.91, Neutra, 0.0003688335418701172, 0.00030422210693359375, 0.0006730556488037109
ok so lots of buzz from io but how lucky are they a free g, Positiva, 0.0, 0.506, 0.5, 7.67, Positiva, 0.0007989406585693359, 0.0002777576446533203, 0.0010766983032226562
just got a free g android at google i o, Positiva, 0.0, 0.602, 0.4, 5.87, Neutra, 0.0005424022674560547, 0.000274658203125, 0.0008170604705810547
guess i ll be retiring my g and start using my developer g woot googleio, Positiva, 0.0, 0.797, 0.2, 4.98, Neutra, 0.0006885528564453125, 0.000274658203125, 0.0009632110595703125
i am happy for philip being at googleio today, Positiva, 0.0, 0.654, 0.3, 5.26, Neutra, 0.000530242919921875, 0.0002961158752441406, 0.0008263587951660156
lakers played great cannot wait for thursday night lakers vs, Positiva, 0.0, 0.552, 0.4, 5.87, Neutra, 0.0006222724914550781, 0.00030350685119628906, 0.0009257793426513672
judd apatow creates fake sitcom on nbc com to market his new movie viral marketing at its best, Positiva, 0.1, 0.615, 0.3, 5.12, Neutra, 0.0010411739349365234, 0.00029349327087402344, 0.0013346672058105469
viral marketing fail this acia pills brand oughta get shut down for hacking into people s messenger s i get msgs in a day arrrgh, Negativa, 0.1, 0.851, 0.0, 4.81, Neutra, 0.0010287761688232422, 0.00030994415283203125, 0.0013387203216552734
watching night at the museum lmao, Positiva, 0.0, 0.562, 0.4, 5.87, Neutra, 0.0005900859832763672, 0.00028514862060546875, 0.0008752346038818359
i loved night at the museum, Positiva, 0.0, 0.506, 0.5, 7.67, Positiva, 0.0005009174346923828, 0.00022912025451660156, 0.0007300376892089844
just got back from the movies went to see the new night at the museum with rachel it was good, Positiva, 0.0, 0.868, 0.1, 4.91, Neutra, 0.0018837451934814453, 0.0003323554992675781, 0.0022161006927490234
i will take you on a date to see night at the museum whenever you want it looks soooooo good, Positiva, 0.0, 0.792, 0.2, 4.98, Neutra, 0.0009555816650390625, 0.0003345012664794922, 0.0012900829315185547
no watching the night at the museum getting really good, Positiva, 0.2, 0.597, 0.2, 4.61, Neutra, 0.0007038116455078125, 0.00027370452880859375, 0.0009775161743164062
night at the museum wolverine and junk food perfect monday, Positiva, 0.0, 0.709, 0.3, 5.26, Neutra, 0.0006656646728515625, 0.0002646446228027344, 0.0009303092956542969
saw night at the museum last night pretty crazy movie but the cast was awesome so it was well worth it robin williams forever, Positiva, 0.1, 0.561, 0.4, 5.67, Neutra, 0.0013949871063232422, 0.0003101825714111328, 0.001705169677734375
night at the museum tonite instead of up oh well that yr old better enjoy it lol, Negativa, 0.0, 0.542, 0.5, 7.67, Positiva, 0.00093841552734375, 0.0002257823944091797, 0.0011641979217529297
it s unfortunate that after the stimulus plan was put in place twice to help gm on the back of the american people has led to the inevitable, Negativa, 0.1, 0.814, 0.1, 4.81, Neutra, 0.001131296157836914, 0.00030112266540527344, 0.0014324188232421875
tell me again why we are giving more to gm we should use that for all the programs that support the unemployed, Negativa, 0.0, 0.797, 0.2, 4.98, Neutra, 0.0010552406311035156, 0.0002758502960205078, 0.0013310909271240234
oh yes but if gm dies it will only be worth more boo hahaha, Negativa, 0.0, 0.536, 0.5, 7.67, Positiva, 0.0008869171142578125, 0.00026416778564453125, 0.0011510848999023438
time warner cable is down again rd time since memorial day bummer, Negativa, 0.2, 0.809, 0.0, 4.52, Neutra, 0.0006997585296630859, 0.0002620220184326172, 0.0009617805480957031
i would rather pay reasonable yearly taxes for free fast internet than get gouged by time warner for a slow connection, Negativa, 0.1, 0.783, 0.2, 4.88, Neutra, 0.0009512901306152344, 0.000324249267578125, 0.0012755393981933594
nooooooo my dvr just died and i was only half way through the ea presser hate you time warner, Negativa, 0.3, 0.687, 0.0, 3.99, Neutra, 0.0009443759918212891, 0.00026488304138183594, 0.001209259033203125
f ck time warner cable you f cking suck balls i have a hd tv amp my damn hd channels hardly ever come in bullshit, Negativa, 0.3, 0.657, 0.0, 3.99, Neutra, 0.0010657310485839844, 0.0002739429473876953, 0.0013396739959716797
time warner has the worse customer service ever i will never use them again, Negativa, 0.2, 0.795, 0.0, 4.52, Neutra, 0.000804901123046875, 0.00027441978454589844, 0.0010793209075927734
time warner is the devil worst possible time for the internet to go out, Negativa, 0.4, 0.585, 0.0, 3.09, Negativa, 0.0007905960083007812, 0.00029921531677246094, 0.0010898113250732422
fuck no internet damn time warner, Negativa, 0.7, 0.263, 0.0, 1.86, Negativa, 0.0005657672882080078, 0.00023746490478515625, 0.0008032321929931641
time warner really picks the worst time to not work all i want to do is get to mtv com so i can watch the hills wtfffff, Negativa, 0.2, 0.805, 0.0, 4.52, Neutra, 0.001064300537109375, 0.00027871131896972656, 0.0013430118560791016
i hate time warner soooo wish i had vios cant watch the fricken mets game w o buffering i feel like im watching free internet porn, Negativa, 0.1, 0.582, 0.3, 5.12, Neutra, 0.0010421276092529297, 0.00027680397033691406, 0.0013189315795898438
ahh got rid of stupid time warner today amp now taking a nap while the roomies cook for me pretty good end for a monday, Negativa, 0.1, 0.678, 0.2, 4.88, Neutra, 0.0011837482452392578, 0.00028252601623535156, 0.0014662742614746094
time warner s hd line up is crap, Negativa, 0.3, 0.698, 0.0, 3.99, Neutra, 0.0005688667297363281, 0.0002453327178955078, 0.0008141994476318359
is being fucked by time warner cable didnt know modems could explode and susan boyle sucks too, Negativa, 0.3, 0.685, 0.0, 3.99, Neutra, 0.0008122920989990234, 0.0002663135528564453, 0.0010786056518554688
time warner cable slogan where calling it a day at pm happens, Negativa, 0.0, 1.0, 0.0, 4.91, Neutra, 0.0007572174072265625, 0.00036454200744628906, 0.0011217594146728516
recovering from surgery wishing was here, Negativa, 0.0, 0.725, 0.3, 5.26, Neutra, 0.0007276535034179688, 0.0002841949462890625, 0.0010118484497070312
my wrist still hurts i have to get it looked at i hate the dr dentist scary places time to watch eagle eye if you want to join txt, Positiva, 0.3, 0.62, 0.1, 3.99, Neutra, 0.0012738704681396484, 0.0002837181091308594, 0.0015575885772705078
the dentist lied u won t feel any discomort prob won t even need pain pills man u twippin this shit hurt how many pills can i take, Negativa, 0.4, 0.448, 0.2, 3.99, Neutra, 0.0012378692626953125, 0.0002815723419189453, 0.0015194416046142578
my dentist is great but she s expensive, Negativa, 0.0, 0.702, 0.3, 5.26, Neutra, 0.0006697177886962891, 0.00028014183044433594, 0.000949859619140625
is studing math tomorrow exam and dentist, Positiva, 0.0, 1.0, 0.0, 4.91, Neutra, 0.0006089210510253906, 0.0003483295440673828, 0.0009572505950927734
my dentist was wrong wrong, Negativa, 0.7, 0.326, 0.0, 1.86, Negativa, 0.0005540847778320312, 0.0002193450927734375, 0.0007734298706054688
going to the dentist later, Negativa, 0.0, 1.0, 0.0, 4.91, Neutra, 0.0004057884216308594, 0.0003273487091064453, 0.0007331371307373047
son has me looking at cars online i hate car shopping would rather go to the dentist anyone with a good car at a good price to sell, Negativa, 0.1, 0.698, 0.2, 4.88, Neutra, 0.0010476112365722656, 0.0003139972686767578, 0.0013616085052490234
luke and i got stopped walking out of safeway and asked to empty our pockets and lift our shirts how jacked up is that, Negativa, 0.1, 0.85, 0.0, 4.81, Neutra, 0.0010371208190917969, 0.0003027915954589844, 0.0013399124145507812
safeway is very rock n roll tonight, Positiva, 0.0, 1.0, 0.0, 4.91, Neutra, 0.0004825592041015625, 0.0002989768981933594, 0.0007815361022949219
the safeway bathroom still smells like ass, Negativa, 0.3, 0.455, 0.2, 4.11, Neutra, 0.0007066726684570312, 0.0002281665802001953, 0.0009348392486572266
at safeway on elkhorn they move like they re dead, Negativa, 0.3, 0.541, 0.2, 4.11, Neutra, 0.0005939006805419922, 0.0002346038818359375, 0.0008285045623779297
i love dwight howard s vitamin water commercial now i wish he was with nike and not adidas lol, Positiva, 0.1, 0.512, 0.4, 5.67, Neutra, 0.0009675025939941406, 0.0003218650817871094, 0.00128936767578125
found nothing at nike factory off to banana republic outlet, Negativa, 0.0, 1.0, 0.0, 4.91, Neutra, 0.0006165504455566406, 0.0003287792205810547, 0.0009453296661376953
is lovin his nike already and that s only from running on the spot in his bedroom, Positiva, 0.0, 1.0, 0.0, 4.91, Neutra, 0.0007143020629882812, 0.0003902912139892578, 0.001104593276977539
i finally got around to using jquery to make my bio collapse yay for slide animations, Positiva, 0.2, 0.663, 0.2, 4.61, Neutra, 0.0007936954498291016, 0.0002593994140625, 0.0010530948638916016
right lol we ll get there i have high expectations warren buffet style, Positiva, 0.0, 0.797, 0.2, 4.98, Neutra, 0.0006434917449951172, 0.00024318695068359375, 0.0008866786956787109
rt rt great someone s sitting in the shade today because someone planted a tree a long time ago warren buffet, Positiva, 0.0, 0.806, 0.2, 4.98, Neutra, 0.0007407665252685547, 0.0002753734588623047, 0.0010161399841308594
warren buffet became for a time the richest man in the united states not by working but investing in big idea which lead to the fortune, Positiva, 0.0, 0.849, 0.2, 4.98, Neutra, 0.001058816909790039, 0.0002872943878173828, 0.0013461112976074219
according to the create a school notre dame will have receivers in ncaa at or higher rating sweet, Positiva, 0.0, 0.746, 0.3, 5.26, Neutra, 0.0008876323699951172, 0.0003509521484375, 0.0012385845184326172
it s definitely under warranty amp my experience is the amazon support for kindle is great had to contact them about my kindle, Positiva, 0.0, 0.616, 0.4, 5.87, Neutra, 0.001073598861694336, 0.0003228187561035156, 0.0013964176177978516
time warner road runner customer support here absolutely blows i hate not having other high speed net options i m ready to go nuclear, Negativa, 0.1, 0.662, 0.2, 4.88, Neutra, 0.0010728836059570312, 0.0002696514129638672, 0.0013425350189208984
time warner cable phone reps r dumber than nails ugh cable was working mins ago now its not wtf, Negativa, 0.2, 0.642, 0.1, 4.52, Neutra, 0.0009212493896484375, 0.0002856254577636719, 0.0012068748474121094
we tried but time warner wasn t being nice so we recorded today, Negativa, 0.0, 0.748, 0.3, 5.26, Neutra, 0.0008881092071533203, 0.0003368854522705078, 0.0012249946594238281
omg time warner f ed up my internet install instead of today its now next saturday another week w o internet amp ehfa v fhg fml, Negativa, 0.0, 1.0, 0.0, 4.91, Neutra, 0.0010998249053955078, 0.0003771781921386719, 0.0014770030975341797
wth i have never seen a line this loooong at time warner before ugh, Negativa, 0.4, 0.617, 0.0, 3.09, Negativa, 0.0007603168487548828, 0.00027942657470703125, 0.001039743423461914
impatiently awaiting the arrival of the time warner guy it s way too pretty to be inside all afternoon, Negativa, 0.1, 0.731, 0.1, 4.81, Neutra, 0.00087738037109375, 0.0002925395965576172, 0.0011699199676513672
naive bayes using em for text classification really frustrating, Negativa, 0.4, 0.569, 0.0, 3.09, Negativa, 0.0006120204925537109, 0.00026106834411621094, 0.0008730888366699219
we went to stanford university today got a tour made me want to go back to college it s also decided all of our kids will go there, Positiva, 0.0, 0.951, 0.0, 4.91, Neutra, 0.0009713172912597656, 0.0003101825714111328, 0.0012814998626708984
if you re being harassed by calls about your car warranty changing your number won t fix that they call every number d bags, Negativa, 0.1, 0.647, 0.2, 4.88, Neutra, 0.0010631084442138672, 0.0002772808074951172, 0.0013403892517089844
just blocked united blood services using google voice they call more than those car warranty guys, Negativa, 0.1, 0.741, 0.1, 4.81, Neutra, 0.0008327960968017578, 0.0003268718719482422, 0.00115966796875
at amp t is complete fail, Negativa, 0.5, 0.533, 0.0, 1.67, Negativa, 0.0005660057067871094, 0.0003147125244140625, 0.0008807182312011719
